AOS,AO Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916
ABT,Abbott laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800,1888
ADBE,Adobe,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982
AMD,Amd,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969
AES,AES,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872,1999
ALK,Alaska Airlines,Industrials,Passenger Airlines,"SeaTac, Washington",2016-05-13,766421,1985
ARE,Alexandria Real Estate,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994
GOOGL,Alphabet google,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998
MO,Altria group,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985
AAL,American Airlines,Industrials,Passenger Airlines,"Fort Worth, Texas",2015-03-23,6201,1934
AIG,aig,Financials,Multi-line Insurance,"New York City, New York",1980-03-31,5272,1919
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977
ACGL,Arch Capital,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,947484,1995
ADP,Automated Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,8670,1949
AXON,Axon,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,1069183,1993
BK,Bny Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995-03-31,1390777,1784
BBWI,Bath Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio",1983-09-30,701985,1963
BAX,Baxter,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,10456,1931
BX,Blackstone group,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",2014-05-08,1730168,1961
BRO,Brown and Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,79282,1939
BF.B,Brown Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,14693,1870
BG,Bunge,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",2023-03-15,1996862,1818
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,16732,1869
CCL,Carnival cruise line,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,815097,1972
CARR,Carrier,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,1783180,"2020 (1915, United Technologies spinoff)"
CAT,Caterpillar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,18230,1925
CBOE,Cboe,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1374310,1973
CDW,CDW corporation,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019-09-23,1402057,1984
CNC,Centene,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739,1984
SCHW,Charles Schwab,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,316709,1971
CVX,Chevron,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
CB,Chubb,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159,1985
CHD,Church and Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,1847
KO,Coca Cola(The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,21344,1886
CTSH,Cognizant technology solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,1994
GLW,Corning,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
CTRA,Coterra energy,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,858470,2021 (1989)
CSX,CSX corporation,Industrials,Rail Transportation,"Jacksonville, Florida",1957-03-04,277948,1980
DHR,Danaher,Health Care,Life Sciences Tolls & Services,"Washington, D.C.",1998-11-18,313616,1969
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",2008-07-31,927066,1979
DE,deere company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,315189,1837
